d 的
squ 斯
ty 题
bri 保
sra 似
ne 南
wg 完
lm 林
yki 员
sza 书
xy 许
jda 决
wwa 务
wn 武
gv 干
xp 形
fy 反
yde 衣
yvu 元
jluo 剑
wnu 物
lhu 龙
nk 呢
tw 条
tg 它
zv 重
ydu 义
qhe 青
qk 区
re 若
cha 车
rx 容
chi 程
bs 北
tj 统
fv 服
hj 红
qhi 求
lq 量
gz 跟
lc 落
jdo 济
md 满
gn 告
lma 李
lf 拉
jlo 惊
nn 娘
jg 即
ck 吃
hsa 黑
vx 尔
kx 空
jge 军
cr 传
zfe 找
shu 石
jmua 极
yl 远
zqe 早
qva 取
ly 领
xz 息
yw 玉
zb 则
wci 微
qi 且
gj 改
ldo 流
zgi 战
bl 办
lr 令
bd 半
lwu 离
ski 虽
jfa 据
swa 收
zbo 资
qy 请
bhu 百
zga 字
hduu 火
jq 基
spe 失
dre 倒
po 怕
fh 房
dba 弟
sge 式
lyu 论
xd 象
jxi 紧
qde 奇
jyu 竟
kh 科
ks 克
hri 候
dleu 达
ypi 影
sl 势
cf 持
sm 杀
dc 德
yy 议
snia 视
jju 绝
ydeo 音
smo 术
sru 伤
hh 或
qq 期
tx 突
nt 男
ste 士
ska 司
ztuo 坐
mm 每
zru 众
sve 随
syu 设
yvo 院
xt 喜
fpo 父
whau 委
jxu 急
drea 代
yye 语
kl 刻
qdea 切
vi 暗
xku 兄
zsio 掌
dvi 党
kg 客
no 农
cte 城
jfe 技
gl 刚
gk 哥
gla 怪
yyeu 友
jt 界
pi 品
hp 乎
gm 根
jme 精
bp 八
sb 首
jxe 举
lzu 罗
gne 姑
syi 识
gbe 共
kc 苦
dvu 队
zj 组
yle 运
gwa 敢
qr 企
gmu 格
zda 治
fg 府
jwi 京
tyo 谈
js 尽
hz 孩
ts 台
jv 际
dpu 答
dbi 单
zli 照
qs 千
qsu 确
djo 断
zsa 足
she 示
zn 整
tku 图
ltu 留
pu 片
sna 始
bj 布
tju 铁
xhi 香
bz 般
wi 晚
zdu 准
jzei 集
qha 七
dz 刀
dce 待
hx 忽
yci 英
dje 导
bg 宝
cje 错
bje 帮
hce 行
lvo 联
va 阿
xxe 兴
yju 约
cd 沉
ywu 夜
cb 曾
dru 低
rra 仍
zfa 招
xdi 消
hy 欢
ml 忙
gyi 观
yqu 易
hg 害
zto 志
gga 功
gje 规
tfi 提
yze 越
jpaa 九
nka 哪
slo 送
zlie 站
jpao 久
zke 周
yvi 阳
fw 复
jsa 局
sf 施
nr 拿
yxe 愿
mza 母
sqa 甚
yf 爷
zve 阵
bwi 备
xg 项
gc 广
qya 群
zju 终
jn 姐
vk 啊
ygo 应
swou 商
ztou 增
dgu 底
tke 团
bzi 巴
qj 钱
gwe 故
xpi 血
rl 热
nx 念
hb 黄
cm 查
xkui 响
jqu 静
wme 闻
jve 脚
zsao 支
xq 星
mme 模
jxua 究
zlue 造
bba 包
hf 护
cy 楚
yyei 亚
jde 酒
lx 乐
ds 段
zdo 注
yro 依
lwuo 六
jb 句
ca 除
xju 希
kd 况
hki 喝
zy 证
xqi 显
xpe 须
yce 严
pe 破
gs 古
zge 左
cme 村
smi 省
fb 费
hl 怀
xa 线
yfu 摇
cz 存
syuu 诉
tb 痛
zyo 装
lk 另
lme 类
hda 汉
jse 居
jbi 具
hku 哈
lxo 灵
bme 标
yse 研
cdi 冲
jvi 击
tfu 挺
lvi 雷
jja 纪
xlu 选
xve 需
jgea 既
dm 毒
cs 参
qm 权
hw 环
zva 专
hkuo 呼
xyu 谢
xva 雪
pd 派
sxi 尚
tla 退
yre 优
yja 银
fk 否
lb 兰
qki 器
bbu 兵
zlui 追
xji 细
mh 木
yje 异
xje 续
hde 湖
zbu 赞
jjua 级
tr 停
sma 树
zdae 争
bvi 背
ls 乱
ywa 育
nxa 怒
jka 君
ghii 革
yke 右
dqi 独
jc 节
pw 旁
gbi 够
mc 莫
dw 敌
zsei 止
yyu 疑
ggi 宫
xge 席
txe 态
gmua 构
cx 穿
smu 闪
dy 调
xwo 效
bbe 病
mn 妹
gze 赶
mso 摩
lvia 露
lmo 料
jwe 救
zbe 责
lca 历
gye 顾
zki 嘴
sle 速
jco 较
cve 陈
fl 副
wa 维
jto 境
hju 缓
chu 称
sku 史
lmou 楼
yca 药
zwea 致
jyee 讲
fdi 负
zfu 抓
cye 差
xte 型
cze 采
jjo 继
zlia 助
wge 威
jti 吉
zrei 值
mna 妈
hge 寒
lhi 丽
sgea 室
jpau 角
dye 顶
lwi 亮
yku 医
hke 号
yhi 雨
wdi 温
yma 杨
lle 烈
vm 案
zvi 职
jra 假
mx 梦
ydo 游
hdae 户
yfa 扬
hdei 河
pv 朋
qw 齐
rxa 忍
cn 初
ln 礼
jruo 价
dd 斗
zfue 族
nxu 您
sso 索
sye 圣
mma 眉
zgu 座
yree 余
gpi 鬼
jsei 禁
jmee 睛
xvu 险
sdi 涉
wk 围
czi 承
svu 胜
xri 修
clu 创
xs 协
mli 慢
xgea 写
hgi 划
jdu 激
sha 私
ldi 列
tt 堂
cq 春
zku 咱
qho 秋
hv 胡
tka 叹
bfu 播
fn 妇
vh 耳
nv 脑
jrao 仅
jpo 简
xsi 县
zji 织
fr 份
xria 仙
tga 唐
hfu 换
fvo 防
sbo 赛
kn 肯
czu 船
kt 考
hfo 挥
wku 网
zgei 庄
ykea 呀
zpe 朱
syo 善
sxe 素
yvua 阴
nsu 尼
yb 益
qmu 瞧
zduo 州
cwa 充
ssu 岁
smue 睡
fne 福
pa 皮
cse 层
zhu 炸
bda 波
tz 跳
wx 忘
yli 遇
lwii 刘
dfi 担
xda 习
dfie 掉
rm 柔
yco 营
gbia 贵
th 土
yvua 隐
zz 置
lg 良
pz 跑
bru 伯
pf 排
ws 屋
tv 脱
kta 块
szi 孙
ddo 渡
lcae 律
ywui 亦
zveu 震
xto 幸
gr 供
kq 狂
cpe 策
hhi 画
vf 按
wve 卫
tlu 逃
cg 察
jqo 景
xxei 寻
jh 积
yda 涌
mq 猛
cc 草
fra 佛
gvu 股
ykei 叶
xha 秀
fyo 访
mg 魔
lke 啦
xza 乡
bc 辈
swe 散
sgei 守
fc 范
smuo 松
mdi 免
ssui 属
hhu 虎
kxe 恐
ybe 养
sri 伸
jyei 警
hn 婚
ycaa 艺
lce 厉
lde 凌
zfua 执
hbe 皇
mp 毛
ymu 验
fge 富
zze 状
ggu 攻
mce 某
ylu 迎
lj 练
spo 食
ydeu 源
syui 顺
slu 适
wwe 玩
tsa 田
zje 镇
fvu 翻
zzi 罪
kk 困
yquo 欲
sca 苏
zye 章
hla 恨
hwi 毫
ydi 央
mdu 米
ldia 泪
xyi 醒
kni 靠
ltua 略
fs 饭
dli 端
cge 床
wke 味
xze 雄
tye 讨
ylei 燕
pfe 批
jdea 渐
dyea 顿
bdi 冰
cle 刺
hcua 获
fre 付
xgei 宣
xnu 姓
tq 替
tfo 探
qwe 球
py 配
fj 凤
xcu 徐
gxi 归
gd 港
vxi 恩
vq 欧
sse 射
ng 宁
dgi 店
ydoo 演
mlo 迷
zjia 钟
zwu 珠
pb 普
mmu 梅
zce 征
ddi 洞
zzu 赵
lsi 临
xvua 胸
xkua 吸
cbe 财
xvae 限
wp 舞
yvua 印
mda 买
fjo 凡
bwo 班
pfu 拍
jmuo 检
wf 握
xqe 献
ycei 压
zco 尊
xhii 虚
pn 婆
llei 劳
tfui 推
dse 短
cza 超
qn 妻
whu 稳
hro 伙
kga 康
yhu 移
jlao 劲
kb 卡
cvei 朝
cce 藏
tyu 调
vxe 恶
xmo 校
lwa 率
nw 弄
mho 秘
lve 陆
tc 徒
fce 封
bde 奔
tce 厅
kqi 哭
zni 祖
bmu 板
yhia 烟
hha 互
xga 序
gku 谷
lci 蓝
bbue 败
mhe 默
jtu 均
yya 预
ykee 园
rc 软
kf 控
cru 仇
mni 妙
cxu 窗
yla 野
zbi 占
xwe 夏
gsa 骨
xvea 邪
syee 试
pzi 盘
wde 污
jmo 杰
bla 避
jhi 肩
tfa 抬
ht 坏
zxi 紫
xre 休
xya 讯
jmi 监
shi 束
wpe 午
mse 蒙
cya 词
yqi 曰
fq 犯
dyei 读
nzu 乃
nj 纳
lre 例
dde 登
hroa 含
sdoa 沈
ldoa 浪
ysei 硬
kge 库
lmu 柳
yra 亿
bpu 笔
zqu 智
bze 罢
lja 绿
chuu 厂
hwe 韩
rk 肉
jtii 坚
jkae 巨
yzea 雅
gso 馆
yrae 伊
dme 杜
wkee 吴
tde 套
dhe 灯
dk 丹
jlae 剧
xca 萧
dwo 帝
mde 麻
tlue 透
qg 巧
xqea 晓
jce 街
zbia 桌
znu 姊
yha 牙
bbei 毕
zdao 泽
bmeu 杯
bfi 摆
pye 评
bse 拜
qqi 曲
vd 奥
ydia 油
tru 偷
zm 杂
zvei 朝
jrui 介
zjuo 纵
zdou 洲
np 牛
msa 卖
nd 凝
scu 输
jrae 健
rme 荣
slei 述
yt 域
kqe 款
gma 概
yge 宇
cpu 彩
bva 臂
gqe 歌
jqi 旧
qhee 秦
pr 偏
cdia 测
xreo 侠
cla 迟
dfu 爹
syei 诗
zjei 针
bpuu 版
ypa 鱼
fhe 烦
bsa 贝
yxu 愈
dhi 丁
hgee 魂
jxeu 尖
dlei 懂
snu 升
fsu 峰
xle 惜
zcee 转
tli 童
rg 弱
jwei 敬
kfo 抗
shaa 丝
xye 戏
zgee 宗
xke 吓
wy 误
cri 促
zle 遭
lvoa 郎
zyei 诸
yyo 尤
tfuo 挑
pp 牌
ldu 洛
sme 盛
jre 借
sloe 熟
tgu 庭
jnu 娇
fju 锋
hkeu 喊
jma 架
hm 横
cria 侧
cci 唇
hwia 豪
nl 努
bjo 编
pl 判
gyia 盖
pbu 贫
qso 拳
qf 抢
lju 络
bmei 闭
mb 贸
gzu 孤
lho 虑
yfua 拥
bxi 悲
bfa 爸
jbu 疾
xyui 训
vy 额
xjio 销
jloe 迹
mqi 冒
xwa 玄
hko 哼
qsa 岂
llu 怜
hq 狠
xvo 鲜
wre 伟
syie 叔
dvia 胆
plu 迫
zfuu 折
yve 腰
cde 残
cfi 抽
nna 娜
mmi 骂
xkuo 凶
mf 摸
pfei 飘
qt 墙
lcu 轮
pfi 扑
jvu 阶
ccu 茶
qz 趣
ydou 洋
sree 舍
cfia 操
tva 腿
hci 厚
nm 闹
stoo 塞
nye 诺
jdeu 减
spa 氏
zjua 纸
csa 础
ps 碰
spou 释
smei 森
cmei 材
pvo 陪
pt 培
ykia 圆
wkui 唯
qfa 缺
jsi 届
blo 遍
lru 伦
zpei 竹
hbu 货
hdi 混
ka 孔
fdia 奋
qge 庆
nnau 奶
ylia 遗
zri 仲
qmuo 枪
lga 勒
yqia 映
hdei 洪
gt 鼓
wyi 谓
lvia 鲁
yzu 跃
zbuu 质
sree 舒
xdo 穴
yyoe 颜
mzi 孟
sho 税
gf 搞
gfe 挂
bt 壁
ddei 夺
ccuo 菜
zbee 贼
ble 逼
mxe 慕
yn 妖
sgei 宋
ysu 允
lfu 旅
sgi 审
sja 绍
bnio 补
freu 伏
jrao 俊
ffe 扶
xla 迅
ylao 勇
fvui 附
lvoa 朗
fro 仿
tluo 途
gqu 狗
qme 骑
zque 昨
bq 暴
wpa 乌
dma 瞪
wwaa 亡
gke 固
cyeu 诚
mmia 盟
gdo 滚
yko 咬
wkua 吻
rce 融
dsu 岛
bsei 博
ykuo 吟
kgei 宽
cfe 措
qwa 弃
jbe 卷
zwuo 珍
zlei 怔
lta 累
dyu 袋
qpe 乔
jva 聚
px 票
shio 稍
clao 惨
fve 丰
wxe 恶
yqe 犹
shea 烧
lxi 录
vs 岸
mko 嘛
tte 塔
ysa 幽
zfao 择
qli 悄
zleu 逐
vr 俄
xdu 斜
yjaa 缘
zzo 踪
jbui 皆
yzo 予
jrei 佳
xme 闲
pj 凭
xde 泄
gvo 郭
cji 触
cpei 乘
mzu 貌
hqu 昏
dmi 督
pru 佩
jdoe 奖
cjea 纯
zvia 阻
zfaa 扎
jca 径
zfeu 振
fveu 奉
bro 伴
csi 餐
fco 芳
cso 尺
jli 竞
whe 韦
kfoe 扩
dya 邓
whaa 瓦
cpi 篡
scai 萨
dsua 躲
zpu 皱
dfua 抵
hmo 核
gve 隔
zfo 撞
cxe 尘
bfe 捕
rw 瑞
tse 泰
mye 谋
yzoe 羽
xjua 欣
ygi 宜
mj 幕
bpi 鼻
gce 甘
yru 仰
yxua 怨
sfi 损
msaa 码
kfu 括
sze 尸
rre 仁
hhe 灰
tkei 吐
sbi 赏
cku 吹
sfa 扫
wdo 湾
gmua 阁
fpu 符
cvu 垂
zxia 忠
dfo 抖
yleu 忧
tti 坦
cki 唱
tbi 贴
ylui 延
zzei 壮
lmoo 梁
zvo 郑
xmu 析
ssoe 碎
tfua 投
sro 僧
dco 荡
jpou 箭
jri 俱
mheo 灭
xf 旋
ccuo 苍
vre 傲
jzi 爵
bca 彼
dgei 戴
jdua 净
jzea 距
gmi 贯
tvo 腾
sjo 缩
lki 吕
hkei 呵
cbu 匆
zgo 灾
hdee 汗
jfea 拒
hra 侯
lvei 陵
jha 季
hme 糊
dbia 典
xlo 袭
mw 敏
zdi 召
dsue 丢
cqe 猜
sfu 授
cfu 插
ldoe 凉
fdu 泛
qx 穷
lcea 莲
fbu 疯
xwi 享
lmoa 粮
znia 祝
rj 绕
ky 颗
chie 赤
dcoe 蒂
qfu 旗
cmi 粗
nde 奈
pk 匹
pm 骗
ccea 彻
ft 番
lceo 莱
jno 嫁
ckia 臣
zyoe 醉
dyi 蛋
dke 呆
btu 堡
qmue 桥
kj 凯
yfe 掩
pfo 拼
glaa 惯
sco 蛇
ppo 篇
mqia 曼
fle 愤
fjuo 纷
ffee 抚
ydua 沿
qhia 启
vku 哦
djei 朵
hvu 霍
dwoo 冬
hco 荒
zme 枝
srei 侍
lxoe 恋
wrei 伍
hcei 赫
xvua 陷
zmu 睁
smao 桑
nc 耐
yrou 仪
jjoe 镜
hxe 惑
ylaa 忆
sqi 申
lsu 黎
snuu 衫
npa 鸟
xdue 洗
hle 慌
ndo 浓
wl 违
dtu 堆
csoe 辞
hkia 嘿
ygu 鹰
yhui 页
mwe 麦
yme 椅
xni 袖
hzo 航
kv 亏
lfo 拦
fm 粉
gji 钢
xxuo 悉
hleu 恢
bco 薄
ydaa 永
vc 艾
qdee 潜
mmao 眸
ylua 逸
zqea 暂
tzi 踏
jdei 洁
hxee 慧
dmei 盯
kle 刊
gbu 购
ppe 颇
frei 傅
cdei 潮
jzei 截
hdue 浩
mwa 玛
qre 倾
dfio 挡
zcei 载
zjue 帐
kyi 课
jyua 鸡
hka 吼
qwee 琴
tsi 躺
tfue 拖
jjui 锦
hqi 晃
fduo 浮
qqu 欺
hkua 唤
cvo 聪
lcue 莉
qpu 签
dsa 殿
vt 埃
rmo 染
zra 仔
lye 裂
xjei 绪
jvua 降
yvia 翼
hza 幻
zmo 驻
hlu 悔
mfe 描
jjae 键
cda 池
nnae 妮
szia 售
tbu 疼
cvoe 翠
vw 哀
vdu 澳
pnu 鹏
lqo 狼
dbe 赌
msoo 密
qsai 屈
gba 勾
fje 幅
xvae 霞
cxue 愁
bgu 宾
yceu 厌
dqe 旦
vke 呆
hsu 毁
stei 寺
zvoe 障
jjoa 忌
nnao 奴
cqeu 晨
mt 埋
xyai 羞
tda 汤
dcu 董
mv 末
xyua 询
zbia 卓
nke 喃
qdu 汽
dlia 迪
ysui 岳
dlo 递
wxa 慰
sjio 锁
slue 剩
fx 繁
zpei 筑
qyau 劝
ysua 饮
mnaa 姆
gge 冠
wvu 雾
gsi 岗
mmo 闷
sruo 俗
jgee 戒
ddou 淡
hdea 汇
sbu 瘦
cjo 缠
lvu 隆
hxeu 辉
mdia 漫
lbe 赖
cbue 痴
lrei 俩
hdia 滑
mdei 漠
sfe 摄
ssou 丧
lgu 牢
wne 娃
cfie 扯
jlia 惧
bve 霸
hgeu 宏
sxiu 肃
svei 霜
vka 唉
dzu 跌
jzo 焦
kz 跨
tgo 弹
wsu 尾
lba 疗
bfua 抱
gci 葛
tsei 甜
jgi 寂
qlu 恰
jqii 甲
srui 傻
lbae 卢
hdo 浑
xno 祥
jbea 兼
gxei 恭
bvee 邦
zno 姿
nlo 恼
dve 肚
ymau 盈
tlue 廷
dmo 盗
mku 鸣
sdiu 沙
msoe 磨
mco 芒
tdee 涛
bmui 柏
jle 劫
zfi 捉
qlei 勤
jdae 津
dyei 订
flu 返
nda 泥
pri 仆
fga 废
gpe 乖
qb 泉
yvei 艳
nq 暖
ldua 溜
zfua 挣
lwe 琳
pde 漂
ylo 悦
xka 啸
cqei 曹
pza 爬
hquu 狐
hba 贺
broe 倍
rxe 惹
nf 扭
wgo 弯
xpei 箱
ydue 羊
qdo 牵
mfee 抹
ydui 丫
xlee 刑
yyea 讶
cxo 尝
lcei 辆
jmau 驾
cxou 慈
ylui 邀
kgee 寇
yluo 遥
lvuo 零
rf 扰
wdeu 危
spei 舌
bsee 碧
sfuo 拾
fci 菲
dgo 弹
sdu 殊
lwuo 玲
tkee 吞
jjee 绩
sfui 搜
mhu 穆
mvo 脉
pg 庞
qse 躯
hcui 荷
hcei 虹
mhei 墨
yseu 崖
czie 丑
jvui 井
twi 亭
fvue 腹
bgui 鞭
bfuo 扮
yyoo 誉
wle 悟
slua 煞
dcei 蝶
kte 堪
bjei 镖
pda 劈
bhi 爆
bfeu 拔
chue 辰
wki 喂
szei 署
pnua 袍
kfi 扣
yfuo 援
cqi 昌
xb 贤
pje 铺
mnu 牧
zjo 综
smuo 瞬
yso 毅
yvai 耶
nki 嗯
jya 艰
lfoe 掠
xlao 熊
zmei 植
lvua 聊
chio 寸
ssue 饰
dfe 搭
shao 扇
jzee 践
jtia 嘉
bmei 柄
pta 坡
tvu 陶
xce 轩
xdei 湘
xyo 详
hca 轰
hbae 痕
ckia 喘
cyei 裁
svuo 耸
qra 侵
ycu 御
cma 闯
sriu 倏
qqo 敲
mgi 庙
jho 夹
hni 祸
fz 罚
jfo 挤
qmei 棋
ggia 贡
vri 偶
zmuo 眨
hxi 患
sfei 撒
fmu 枫
qpa 欠
hxei 惠
pyi 频
rco 蓉
cro 储
hkai 函
jci 辑
cpee 筹
wkei 吾
rd 刃
ddoe 滴
tm 糖
slou 遂
bfau 拨
fgu 弗
zree 债
mlu 勉
hcua 衡
clei 忖
jyeo 颊
rcei 辱
rjo 锐
jqia 晶
wb 卧
jne 姬
ljuo 铃
dqo 狄
blei 勃
tji 铜
mle 迈
pwo 瓶
xcui 薛
tdu 涂
mcoo 茫
zhuo 丈
lhou 烂
yseu 岩
rh 燃
zjie 钻
qwei 琪
yqo 狱
hmoe 骇
cfo 擦
jpu 斤
dbu 贷
bju 币
yti 袁
kqea 昆
zreu 仗
lvuo 邻
fda 冯
lyo 谅
chuo 丛
csei 齿
mnai 媚
xkei 嘻
jxia 贾
bfuu 搬
lcuo 龄
sce 寿
zveu 奏
gzua 跪
fku 咐
cmai 驰
km 阔
scoo 莎
lleu 励
tfe 拓
qne 娶
qqe 晴
yxui 悠
tmo 梯
qvu 卿
fzi 赴
cvua 脆
wso 碗
fxu 覆
cyo 叉
xvua 降
qju 纤
cluo 刹
qdee 浅
qko 圈
lkia 哩
czuo 趁
xpa 夕
ylaa 幼
vqu 昂
lvuo 翎
qqou 歉
sdia 湿
llo 麟
xtu 孝
ysue 矣
klu 愧
lhe 炼
ycui 雁
gha 戈
jgeu 寄
zgue 宅
ttee 坛
pvou 胖
qsi 乾
gre 估
mzo 矛
ysuu 殷
zzie 罩
dzua 雕
dmu 盾
qdea 凄
sbia 兽
fva 肥
hno 鹤
xgei 鞋
zmoo 寨
wcu 薇
cfoe 撤
yrei 俞
vsi 碍
xyao 翔
yxeu 耀
wvo 腕
sya 酸
lli 愣
glo 割
pfua 抛
qzu 趋
zvoe 脏
xnou 嫌
xvau 胁
syei 誓
yxuu 尹
zpua 舟
xqia 歇
zmoe 柱
mmua 麽
gme 桂
mne 媒
jfea 捷
zmei 糟
csae 虫
zcu 斩
fpoa 乏
pke 喷
pfa 披
snui 嫂
csu 崔
wgu 宛
sde 洒
wno 婉
csoo 崇
gmea 柜
fgui 腐
qgeu 戚
fhi 甫
yyue 诱
wgue 魏
vl 愕
lji 览
xdeo 辛
pc 萍
ywuo 瑶
mgu 弥
zfoe 摘
ykia 咽
czeu 臭
tsei 屠
zmeu 杖
ybo 赢
zceu 藏
flua 逢
vsu 矮
gpu 瓜
yveu 郁
rs 饶
mji 帽
yhua 焰
sfo 摔
wca 尉
jjai 纠
fno 妨
rdo 润
mwi 亩
jyao 颈
pmu 盼
vfa 挨
qwo 琼
ykei 哑
hkui 喉
fcee 芙
xlaa 巡
jyau 姜
xqei 昔
ccei 厨
dhia 豆
tzia 踢
ckiu 吵
lgo 廉
tza 妥
kyu 酷
wt 畏
syoe 疏
ghie 丐
fvee 肤
jpua 筋
xcuu 循
mmui 棉
zpui 爪
swaa 率
fjua 缝
bxo 辩
yne 姨
pju 帕
yyao 译
kso 矿
fkuo 吩
xxi 悬
zqei 猪
pba 疲
qpi 丘
llei 懒
yvia 邮
pfee 捧
sjiu 帅
crio 偿
cfio 撑
mqe 猫
bvo 膀
jnee 奸
jlee 靖
jsai 巾
vsue 饿
xli 削
lxe 辣
yluo 愉
jsea 矩
mci 苗
lp 笼
squi 晌
sjiu 纱
wvuo 翁
bso 卜
slei 慎
ppei 彭
wlu 惟
bsu 饱
qyo 谦
jfi 揭
hdei 鸿
bpe 笨
lsuo 岭
mmei 瞒
snue 牲
mju 绵
yxi 愚
tyei 谭
wdee 汪
jrei 僵
mmue 枚
ffa 拂
nva 聂
ygia 宴
zmei 骤
xhu 稀
sjia 绳
tbuo 贪
qlue 迁
qfuo 擒
yduo 渊
lqe 猎
rko 嚷
ksu 砍
smia 驶
zdou 滋
pyie 裴
cke 呈
tdee 添
nfa 拟
zlo 遵
kme 柯
mmei 蓦
jcu 轿
yqoa 晕
zqua 旨
xduo 溪
yfua 抑
mcoo 蜜
mte 墓
zhia 租
pvu 脾
lje 链
zbia 贞
pbui 魄
dvei 陡
qmeu 驱
zpo 兆
ycua 役
pmo 瞥
hdai 涵
fqu 氛
jvua 肌
dkea 吨
wxi 窝
swu 珊
pcu 蓬
kdi 渴
cva 肠
yzoa 豫
cria 催
kno 裤
dmio 档
zqa 昭
jgei 疆
xvei 膝
cdee 凑
jji 鉴
bvu 胞
dki 吊
lwo 璃
wnoe 妄
wfo 挖
jqe 晋
cqia 畅
cyoe 颤
frea 伐
gzea 弓
lda 漏
lgoa 廊
jdei 奇
lhoa 炉
qjua 钦
zyoe 颤
yho 炎
ph 炮
zcoa 芝
jyei 谨
gfi 拐
bzu 豹
yyoo 谊
chua 册
xwoe 璇
fna 妃
wkei 哇
zdie 沾
pdu 潘
cbi 赐
ylei 焉
bsui 卑
xse 峡
dwoe 敦
bnu 婢
gyu 诡
jko 圈
kmei 枯
lla 辽
kko 咳
jpe 籍
zloe 遮
nja 纽
qdoe 泣
ckei 嘲
cfuu 拆
lfou 搂
jfia 捐
hrei 盒
tfao 摊
ckua 叱
slei 逝
dhu 黛
wfu 挽
pbe 叛
cvi 耻
mve 陌
bfei 搏
hcaa 後
ygua 冤
xyuo 叙
nlou 逆
gvou 耿
ywe 莹
cmie 柴
hlue 耗
mwu 玫
bmee 棒
bxou 辨
llia 逻
wdu 沃
hli 恍
cxi 窜
bleu 怖
mge 魅
ccua 蔡
sla 刷
zti 址
mhei 煤
gdu 沟
zwi 衷
fcu 芬
dlei 逗
lxu 劣
lsua 岚
hlei 恒
gfei 拱
lmou 栏
tvoo 陀
zkei 哲
pse 屁
hlui 惶
qna 裙
ymo 阅
zceu 葬
kde 夸
pso 屏
qdou 券
xgu 宿
ptu 番
shuo 爽
wj 纹
bvei 脖
spie 鼠
wro 伪
ymua 阎
zbou 赠
yfi 押
yreu 倚
nfi 捏
xco 蓄
tzio 趟
vkei 哎
ydua 渔
sva 甩
froe 俯
tri 倘
cjoo 斥
jjia 舅
mcoe 蛮
pbo 赔
lmoe 粒
sdie 淑
zdae 涨
jdou 剪
jmue 骄
gde 灌
lxia 帘
zrea 侄
lmua 骆
zta 坠
qvo 腔
cyoo 诧
wye 顽
gle 耕
cra 仓
hye 谎
nh 囊
jbee 贱
qlia 遣
cgeu 宠
mhi 秒
kla 慨
xxia 肖
yduo 浴
rreo 儒
zhia 烛
qri 俏
gho 稿
gmia 棍
gsia 辜
gju 钩
lsuu 履
swee 瑟
ydoe 液
ldoe 凛
xjue 绣
svau 邵
psei 攀
pmuo 盆
zjia 咒
lceo 蕾
zci 芷
gkei 咕
skao 嗓
fki 啡
djei 钉
yduo 淫
ccee 蠢
tmi 桐
bwa 玻
hjuo 绘
kka 咖
